gvkey,Compustat Identifier,,,,,,,
fyear,Fiscal year,,,,,,,
lpermno,CRSP Identifier,,,,,,,
sic,Industry (4 digit),,,,,,,
sic3,Industry (3 digit),,,,,,,
age,Firm age,,,,,,,
at,Assets,,,,,,,
me,Market Equity,,,,,,,
l_a,Log(at),,,,,,,
l_sale,Log(Sale),,,,,,,
prof_a,Profitability (OIBDP/at),,,,,,,
mb,Market to book,,,,,,,
ppe_a,"Property, Plant, and Equip / at (""Tangibility"")",,,,,,,
capx_a,CAPX ratio,,,,,,,
xrd_a,R&D ratio,,,,,,,
cash_a,Cash / at,,,,,,,
div_d,dividend payer dummy,,,,,,,
td,total debt (dltt+dlc),,,,,,,
td_a,total debt / at,,,,,,,
td_mv,total debt / (debt + me) ,,,,,,,
dltt_a,Long term debt / at,,,,,,,
dv_a,Dividend / at,,,,,,,
invopps_FG09,Investment opportunity proxy,,,,,,,
sales_g,Sales growth YoY,,,,,,,
short_debt,ignore,,,,,,,
long_debt_dum,Has long term debt,,,,,,,
atr,Average tax rate,,,,,,,
smalltaxlosscarry,Dummy - has small tax loss carry forward,,,,,,,
largetaxlosscarry,Dummy - has large  tax loss carry forward,,,,,,,
tnic3hhi,"HHI of industry, Industry computed from text",,,,,,,
tnic3tsimm,"Total Simularity of firms in industry, computed from text",,,,,,,
prodmktfluid,Fluidity of product market,,,,,,,
delaycon,Investment delay constraint,,,,,,,
equitydelaycon,ignore,,,,,,,
debtdelaycon,ignore,,,,,,,
privdelaycon,ignore,,,,,,,
l_emp,Log(employees),,,,,,,
l_ppent,Log(PPENT),,,,,,,
,,,,,,,,
